a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
akonadi 21.04.3-1
akonadi-calendar 21.04.3-1
akonadi-calendar-tools 21.04.3-1
akonadi-contacts 21.04.3-1
akonadi-import-wizard 21.04.3-1
akonadi-mime 21.04.3-1
akonadi-notes 21.04.3-1
akonadi-search 21.04.3-1
akonadiconsole 21.04.3-1
akregator 21.04.3-1
alacritty 0.8.0-1
alacritty-themes 3.1.0-1
alsa-card-profiles 1:0.3.32-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
analitza 21.04.3-1
aom 3.1.2-1
apparmor 3.0.1-3
appstream 0.14.4-1
appstream-glib 0.7.18-2
appstream-qt 0.14.4-1
archlinux-appstream-data-pamac 20210612-1
archlinux-keyring 20210616-1
argon2 20190702-3
ark 21.04.3-1
artikulate 21.04.3-1
asciidoc 9.1.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attica 5.84.0-1
attr 2.5.1-1
audiocd-kio 21.04.3-1
audiofile 0.3.6-6
audit 3.0.3-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
avogadro-crystals 1.0.1-1
avogadro-molecules 1.0.0-1
avogadrolibs 1.94.0-1
baloo 5.84.0-1
baloo-widgets 21.04.3-1
base 2-2
bash 5.1.008-1
binutils 2.36.1-3
bison 3.7.6-1
black-hole-solver 1.10.1-1
blinken 21.04.3-1
bluez 5.60-1
bluez-libs 5.60-1
bomber 21.04.3-1
boost-libs 1.76.0-1
bovo 21.04.3-1
breeze 5.22.4-1
breeze-icons 5.84.0-1
bridge-utils 1.7.1-1
brltty 6.3-4
brotli 1.0.9-4
btrfs-progs 5.13-1
bubblewrap 0.4.1-2
bumblebee-status 2.1.4-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.68-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
calendarsupport 21.04.3-1
cantarell-fonts 1:0.301-1
cantor 21.04.3-2
cdm 0.7-1
cdparanoia 10.2-8
celt 0.11.3-4
cervisia 21.04.3-1
cfitsio 1:4.0.0-1
chromaprint 1.5.0-3
